b1	1	b2	2	b3	3
344.94	119.55	344.94	55.883	345.5	66.839
344.96	120.25	344.96	49.66	345.51	71.707
344.97	120.87	344.97	43.328	345.51	76.764
344.98	121.41	344.98	36.958	345.52	82.03
345	121.86	345	30.623	345.52	87.524
345.01	122.23	345.01	24.397	345.53	93.265
345.02	122.51	345.02	18.351	345.54	99.277
345.04	122.72	345.04	12.554	345.54	105.58
345.05	122.85	345.05	7.0705	345.55	112.21
345.06	122.91	345.06	1.9592	345.55	119.19
345.08	122.9	345.08	-2.7272	345.56	126.54
345.09	122.84	345.09	-6.9433	345.56	134.31
345.1	122.72	345.1	-10.651	345.57	142.53
345.12	122.55	345.12	-13.822	345.57	151.24
345.13	122.35	345.13	-16.432	345.58	160.49
345.14	122.12	345.14	-18.469	345.59	170.32
345.16	121.86	345.16	-19.926	345.59	180.78
345.17	121.59	345.17	-20.803	345.6	191.94
345.18	121.31	345.18	-21.106	345.6	203.86
345.2	121.03	345.2	-20.849	345.61	216.61
345.21	120.76	345.21	-20.048	345.61	230.27
345.22	120.5	345.22	-18.726	345.62	244.93
345.24	120.26	345.24	-16.905	345.62	260.69
345.25	120.05	345.25	-14.614	345.63	277.66
345.26	119.87	345.26	-11.883	345.63	295.97
345.28	119.73	345.28	-8.7418	345.64	315.74
345.29	119.64	345.29	-5.2227	345.65	337.13
345.3	119.6	345.3	-1.3581	345.65	360.33
345.32	119.61	345.32	2.8193	345.66	385.52
345.33	119.67	345.33	7.2768	345.66	412.92
345.34	119.8	345.34	11.982	345.67	442.79
345.36	119.99	345.36	16.902	345.67	475.42
345.37	120.25	345.37	22.005	345.68	511.12
345.38	120.58	345.38	27.26	345.68	550.26
345.4	120.98	345.4	32.635	345.69	593.27
345.41	121.45	345.41	38.098	345.7	640.63
345.42	122	345.42	43.617	345.7	692.89
345.44	122.61	345.44	49.16	345.71	750.7
345.45	123.31	345.45	54.696	345.71	814.8
345.46	124.07	345.46	60.19	345.72	886.03
345.48	124.91	345.48	65.608	345.72	965.4
345.49	125.82	345.49	70.916	345.73	1054.1
345.5	126.8	345.5	76.076	345.73	1153.4
345.52	127.85	345.52	81.051	345.74	1264.9
345.53	128.96	345.53	85.802	345.74	1390.4
345.54	130.13	345.54	90.288	345.75	1532.3
345.56	131.37	345.56	94.466	345.76	1692.9
345.57	132.65	345.57	98.293	345.76	1875.3
345.58	133.99	345.58	101.72	345.77	2083.1
345.6	135.36	345.6	104.71	345.77	2320.5
345.61	136.77	345.61	107.21	345.78	2592.4
345.62	138.22	345.62	109.18	345.78	2904.6
345.64	139.68	345.64	110.57	345.79	3263.9
345.65	141.16	345.65	111.34	345.79	3678.4
345.66	142.65	345.66	111.44	345.8	4157
345.68	144.13	345.68	110.84	345.81	4709.9
345.69	145.6	345.69	109.51	345.81	5348.4
345.7	147.05	345.7	107.41	345.82	6084
345.72	148.46	345.72	104.53	345.82	6927.5
345.73	149.83	345.73	100.85	345.83	7887
345.74	151.15	345.74	96.363	345.83	8964.4
345.76	152.4	345.76	91.082	345.84	10150
345.77	153.57	345.77	85.019	345.84	11412
345.78	154.66	345.78	78.202	345.85	12688
345.8	155.65	345.8	70.672	345.86	13867
345.81	156.54	345.81	62.48	345.86	14774
345.82	157.32	345.82	53.688	345.87	15169
345.84	157.97	345.84	44.371	345.87	14758
345.85	158.5	345.85	34.613	345.88	13256
345.86	158.89	345.86	24.506	345.88	10487
345.88	159.15	345.88	14.151	345.89	6509.4
345.89	159.27	345.89	3.6523	345.89	1684.9
345.9	159.25	345.9	-6.8826	345.9	-3369.8
345.92	159.08	345.92	-17.345	345.9	-7964.2
345.93	158.78	345.93	-27.628	345.91	-11555
345.94	158.35	345.94	-37.628	345.92	-13888
345.96	157.78	345.96	-47.247	345.92	-14996
345.97	157.09	345.97	-56.396	345.93	-15104
345.98	156.28	345.98	-64.993	345.93	-14509
346	155.36	346	-72.969	345.94	-13490
346.01	154.34	346.01	-80.263	345.94	-12264
346.02	153.23	346.02	-86.829	345.95	-10984
346.04	152.03	346.04	-92.631	345.95	-9743.2
346.05	150.76	346.05	-97.644	345.96	-8592.3
346.06	149.43	346.06	-101.86	345.97	-7554.1
346.08	148.05	346.08	-105.27	345.97	-6634
346.09	146.63	346.09	-107.88	345.98	-5827.7
346.1	145.17	346.1	-109.72	345.98	-5125.7
346.12	143.7	346.12	-110.8	345.99	-4517
346.13	142.22	346.13	-111.16	345.99	-3990
346.14	140.74	346.14	-110.82	346	-3533.9
346.16	139.27	346.16	-109.84	346	-3138.7
346.17	137.82	346.17	-108.25	346.01	-2795.9
346.18	136.39	346.18	-106.09	346.01	-2497.8
346.2	134.99	346.2	-103.42	346.02	-2238
346.21	133.63	346.21	-100.28	346.03	-2011
346.22	132.32	346.22	-96.705	346.03	-1812
346.24	131.06	346.24	-92.754	346.04	-1637.2
346.25	129.85	346.25	-88.467	346.04	-1483.2
346.26	128.7	346.26	-83.888	346.05	-1347
346.28	127.61	346.28	-79.059	346.05	-1226.4
346.29	126.59	346.29	-74.02	346.06	-1119.1
346.3	125.64	346.3	-68.809	346.06	-1023.5
346.32	124.76	346.32	-63.466	346.07	-938.09
346.33	123.95	346.33	-58.025	346.08	-861.55
