b1	1	b2	2
345.9	-36.538	345.95	-31.765
345.91	-35.203	345.95	-30.409
345.91	-33.927	345.96	-29.121
345.92	-32.704	345.96	-27.897
345.92	-31.533	345.97	-26.733
345.93	-30.411	345.98	-25.623
345.93	-29.335	345.98	-24.565
345.94	-28.302	345.99	-23.556
345.94	-27.31	345.99	-22.591
345.95	-26.357	346	-21.669
345.95	-25.441	346	-20.787
345.96	-24.56	346.01	-19.942
345.96	-23.713	346.01	-19.132
345.97	-22.897	346.02	-18.354
345.97	-22.11	346.02	-17.607
345.98	-21.353	346.03	-16.89
345.98	-20.622	346.04	-16.199
345.99	-19.916	346.04	-15.534
345.99	-19.236	346.05	-14.894
346	-18.578	346.05	-14.276
346	-17.942	346.06	-13.679
346.01	-17.327	346.06	-13.103
346.01	-16.733	346.07	-12.545
346.02	-16.157	346.07	-12.006
346.02	-15.599	346.08	-11.483
346.03	-15.059	346.08	-10.976
346.03	-14.534	346.09	-10.485
346.04	-14.026	346.1	-10.007
346.04	-13.532	346.1	-9.5424
346.05	-13.052	346.11	-9.0904
346.05	-12.586	346.11	-8.6501
346.06	-12.133	346.12	-8.2208
346.06	-11.692	346.12	-7.8019
346.07	-11.262	346.13	-7.3927
346.07	-10.844	346.13	-6.9926
346.08	-10.436	346.14	-6.601
346.08	-10.038	346.14	-6.2173
346.09	-9.6498	346.15	-5.841
346.09	-9.2706	346.16	-5.4715
346.1	-8.9001	346.16	-5.1085
346.1	-8.5377	346.17	-4.7513
346.11	-8.1831	346.17	-4.3996
346.11	-7.836	346.18	-4.0528
346.12	-7.4959	346.18	-3.7106
346.12	-7.1624	346.19	-3.3724
346.12	-6.8352	346.19	-3.038
346.13	-6.514	346.2	-2.7068
346.13	-6.1984	346.2	-2.3785
346.14	-5.8881	346.21	-2.0527
346.14	-5.5828	346.22	-1.729
346.15	-5.2822	346.22	-1.4071
346.15	-4.9861	346.23	-1.0865
346.16	-4.6941	346.23	-0.76682
346.16	-4.4059	346.24	-0.44781
