b	f0005	0005	0005a	f0020	0020	0020a	f0100	0100	0100a	f0300	0300	0300a	f0500	0500	0500a	f0700	0700	0700a
331.263	9.55854	-9.18315	2.22625	9.55855	-9.30641	-1.56388	9.55858	-6.52198	-0.7687	9.55861	3.47143	3.32573	9.55863	-7.14782	-0.78483	9.5587	14.5937	4.75974
331.265	9.55847	-14.1847	2.21702	9.55848	-8.30355	-1.56566	9.55851	-4.5255	-0.76977	9.55854	1.45619	3.34278	9.55856	-5.15724	-0.77563	9.55863	15.5758	4.8031
331.268	9.5584	-19.1862	2.19535	9.55841	-7.30068	-1.56494	9.55844	-3.52901	-0.76837	9.55847	0.44095	3.35731	9.55849	-4.16665	-0.76396	9.55856	15.5579	4.84643
331.27	9.55833	-23.1877	2.16373	9.55834	-6.29782	-1.56173	9.55837	-4.53253	-0.76945	9.55839	-0.57428	3.36931	9.55841	-5.17606	-0.75481	9.55848	16.5399	4.89219
331.273	9.55826	-26.1893	2.12465	9.55827	-4.29496	-1.55354	9.5583	-7.53604	-0.77801	9.55832	-2.58952	3.3763	9.55834	-6.18548	-0.74817	9.55841	16.522	4.93791
331.275	9.55818	-27.1908	2.08307	9.55819	-4.29209	-1.54534	9.55822	-11.5396	-0.79652	9.55825	-3.60476	3.38077	9.55827	-9.19489	-0.74901	9.55834	17.504	4.98608
331.278	9.55811	-25.1923	2.04647	9.55812	-5.28923	-1.53962	9.55815	-16.5431	-0.82747	9.55818	-3.62	3.3852	9.5582	-12.2043	-0.75733	9.55827	20.4861	5.04165
331.28	9.55804	-22.1938	2.01732	9.55805	-8.28637	-1.54135	9.55808	-21.5466	-0.87086	9.55811	-4.63524	3.38711	9.55813	-14.2137	-0.77065	9.5582	20.4682	5.09719
331.283	9.55797	-19.1954	1.99563	9.55798	-10.2835	-1.54805	9.55801	-25.5501	-0.92421	9.55804	-4.65048	3.38898	9.55805	-15.2231	-0.78647	9.55812	21.4502	5.15516
331.285	9.5579	-18.1969	1.97642	9.55791	-12.2806	-1.55971	9.55794	-27.5536	-0.98254	9.55796	-3.66571	3.39329	9.55798	-17.2325	-0.8073	9.55805	23.4323	5.21806
331.288	9.55783	-17.1984	1.95969	9.55784	-14.2778	-1.57634	9.55787	-28.5571	-1.04336	9.55789	-1.68095	3.40254	9.55791	-19.242	-0.83312	9.55798	23.4143	5.28092
331.29	9.55775	-19.1999	1.93799	9.55776	-14.2749	-1.59297	9.55779	-30.5607	-1.10916	9.55782	-0.69619	3.41424	9.55784	-21.2514	-0.86393	9.55791	24.3964	5.34622
331.293	9.55768	-19.2015	1.91628	9.55769	-15.2721	-1.61207	9.55772	-31.5642	-1.17746	9.55775	1.28857	3.43088	9.55777	-24.2608	-0.90223	9.55784	26.3785	5.41645
331.295	9.55761	-19.203	1.89457	9.55762	-15.2692	-1.63116	9.55765	-30.5677	-1.24328	9.55768	2.27333	3.44996	9.5577	-26.2702	-0.94553	9.55777	28.3605	5.4916
331.297	9.55754	-18.2045	1.87534	9.55755	-14.2663	-1.64776	9.55758	-30.5712	-1.30911	9.55761	2.2581	3.46901	9.55762	-27.2796	-0.99133	9.55769	30.3426	5.57169
331.3	9.55747	-17.206	1.85859	9.55748	-14.2635	-1.66436	9.55751	-31.5747	-1.37744	9.55753	3.24286	3.4905	9.55755	-26.289	-1.03467	9.55762	31.3246	5.65421
331.302	9.55739	-16.2076	1.84433	9.5574	-13.2606	-1.67846	9.55744	-31.5782	-1.44577	9.55746	2.22762	3.50947	9.55748	-23.2984	-1.07058	9.55755	33.3067	5.74167
