b	fcucl2	cucl2	cucl2a	fcuso4	cuso4	cuso4a
269.796	11.7424	17.121	74.0395	11.7509	94.9461	466.341
269.82	11.7414	17.1256	74.5432	11.7499	94.9682	468.852
269.845	11.7403	16.1301	75.0225	11.7488	94.9904	471.364
269.869	11.7393	15.1346	75.4774	11.7477	94.0126	473.852
269.894	11.7382	14.1391	75.908	11.7467	93.0348	476.315
269.918	11.7371	13.1437	76.3143	11.7456	92.057	478.755
269.943	11.7361	13.1482	76.7207	11.7445	90.0792	481.147
269.967	11.735	13.1527	77.1272	11.7435	88.1014	483.49
269.991	11.7339	13.1573	77.5338	11.7424	86.1236	485.785
270.016	11.7329	13.1618	77.9406	11.7413	84.1458	488.031
